ens_gene_id	cytoband
ENSG00000269925	1p36.23
ENSG00000049246	1p36.23
ENSG00000236266	1p36.23
ENSG00000049247	1p36.23
ENSG00000049249	1p36.23
ENSG00000270330	1p36.23
ENSG00000116288	1p36.23
ENSG00000200344	1p36.23
ENSG00000116285	1p36.23
ENSG00000238290	1p36.23
ENSG00000232848	1p36.23
ENSG00000229305	1p36.23
ENSG00000227634	1p36.23
ENSG00000200975	1p36.23
ENSG00000233645	1p36.23
ENSG00000251977	1p36.23
ENSG00000162426	1p36.23
ENSG00000252254	1p36.23
ENSG00000142599	1p36.23
ENSG00000232912	1p36.23
ENSG00000221083	1p36.23
ENSG00000270282	1p36.23
ENSG00000234619	1p36.23
ENSG00000224315	1p36.23
ENSG00000222511	1p36.23
ENSG00000226545	1p36.23
ENSG00000228423	1p36.23
ENSG00000229716	1p36.23
ENSG00000074800	1p36.23
ENSG00000274258	1p36.23
ENSG00000236269	1p36.23
ENSG00000230679	1p36.23
ENSG00000201725	1p36.23
ENSG00000238249	1p36.23
ENSG00000232208	1p36.23
ENSG00000232663	1p36.23
ENSG00000131686	1p36.23
ENSG00000265141	1p36.23
ENSG00000197241	1p36.23
ENSG00000142583	1p36.23
ENSG00000252404	1p36.23
ENSG00000180758	1p36.22
ENSG00000228526	1p36.22
ENSG00000234546	1p36.22
ENSG00000281937	1p36.22
ENSG00000049239	1p36.22
ENSG00000171621	1p36.22
ENSG00000252956	1p36.22
ENSG00000235263	1p36.22
ENSG00000171612	1p36.22
ENSG00000231181	1p36.22
ENSG00000188807	1p36.22
ENSG00000171608	1p36.22
ENSG00000179840	1p36.22
ENSG00000233268	1p36.22
ENSG00000231789	1p36.22
ENSG00000171603	1p36.22
ENSG00000271264	1p36.22
ENSG00000280113	1p36.22
ENSG00000178585	1p36.22
ENSG00000223989	1p36.22
ENSG00000162441	1p36.22
ENSG00000228150	1p36.22
ENSG00000173614	1p36.22
ENSG00000202415	1p36.22
ENSG00000283611	1p36.22
ENSG00000265521	1p36.22
ENSG00000241326	1p36.22
ENSG00000162444	1p36.22
ENSG00000130939	1p36.22
ENSG00000224340	1p36.22
ENSG00000233623	1p36.22
ENSG00000201746	1p36.22
ENSG00000054523	1p36.22
ENSG00000264881	1p36.22
ENSG00000199562	1p36.22
ENSG00000264501	1p36.22
ENSG00000142657	1p36.22
ENSG00000271989	1p36.22
ENSG00000251503	1p36.22
ENSG00000175279	1p36.22
ENSG00000241563	1p36.22
ENSG00000160049	1p36.22
ENSG00000203469	1p36.22
ENSG00000142655	1p36.22
ENSG00000243267	1p36.22
ENSG00000130940	1p36.22
ENSG00000272078	1p36.22
ENSG00000225158	1p36.22
ENSG00000175262	1p36.22
ENSG00000215785	1p36.22
ENSG00000120948	1p36.22
ENSG00000277726	1p36.22
ENSG00000009724	1p36.22
ENSG00000271895	1p36.22
ENSG00000116649	1p36.22
ENSG00000171824	1p36.22
ENSG00000226849	1p36.22
ENSG00000230337	1p36.22
ENSG00000198793	1p36.22
ENSG00000225602	1p36.22
ENSG00000253086	1p36.22
ENSG00000171819	1p36.22
ENSG00000207451	1p36.22
ENSG00000238173	1p36.22
ENSG00000120942	1p36.22
ENSG00000238199	1p36.22
ENSG00000224338	1p36.22
ENSG00000204624	1p36.22
ENSG00000235643	1p36.22
ENSG00000116661	1p36.22
ENSG00000132879	1p36.22
ENSG00000116663	1p36.22
ENSG00000116670	1p36.22
ENSG00000162490	1p36.22
ENSG00000177674	1p36.22
ENSG00000215910	1p36.22
ENSG00000177553	1p36.22
ENSG00000177000	1p36.22
ENSG00000011021	1p36.22
ENSG00000242349	1p36.22
ENSG00000276470	1p36.22
ENSG00000278852	1p36.22
ENSG00000175206	1p36.22
ENSG00000275915	1p36.22
ENSG00000120937	1p36.22
ENSG00000224904	1p36.22
ENSG00000199347	1p36.22
ENSG00000201801	1p36.22
ENSG00000116685	1p36.22
ENSG00000083444	1p36.22
ENSG00000116688	1p36.22
ENSG00000270914	1p36.22
ENSG00000116691	1p36.22
ENSG00000202461	1p36.22
ENSG00000276869	1p36.22
ENSG00000243539	1p36.22
ENSG00000120949	1p36.22
ENSG00000201135	1p36.22
ENSG00000227875	1p36.22
ENSG00000028137	1p36.22
ENSG00000263676	1p36.22
ENSG00000225196	1p36.22
ENSG00000252969	1p36.22
ENSG00000048707	1p36.22,1p36.21
ENSG00000239149	1p36.21
ENSG00000229484	1p36.21
ENSG00000162496	1p36.21
ENSG00000221340	1p36.21
ENSG00000276830	1p36.21
ENSG00000272482	1p36.21
ENSG00000204518	1p36.21
ENSG00000226166	1p36.21
ENSG00000188984	1p36.21
ENSG00000157330	1p36.21
ENSG00000116726	1p36.21
ENSG00000116721	1p36.21
ENSG00000228338	1p36.21
ENSG00000239810	1p36.21
ENSG00000231103	1p36.21
ENSG00000179172	1p36.21
ENSG00000120952	1p36.21
ENSG00000243073	1p36.21
ENSG00000187545	1p36.21
ENSG00000204510	1p36.21
ENSG00000207434	1p36.21
ENSG00000234064	1p36.21
ENSG00000232423	1p36.21
ENSG00000274178	1p36.21
ENSG00000274764	1p36.21
ENSG00000229571	1p36.21
ENSG00000277058	1p36.21
ENSG00000277862	1p36.21
ENSG00000236179	1p36.21
ENSG00000275774	1p36.21
ENSG00000229978	1p36.21
ENSG00000233336	1p36.21
ENSG00000280267	1p36.21
ENSG00000179412	1p36.21
ENSG00000204505	1p36.21
ENSG00000279169	1p36.21
ENSG00000279804	1p36.21
ENSG00000250894	1p36.21
ENSG00000270601	1p36.21
ENSG00000231219	1p36.21
ENSG00000207511	1p36.21
ENSG00000182330	1p36.21
ENSG00000204501	1p36.21
ENSG00000237700	1p36.21
ENSG00000228229	1p36.21
ENSG00000204481	1p36.21
ENSG00000204480	1p36.21
ENSG00000204479	1p36.21
ENSG00000204478	1p36.21
ENSG00000162494	1p36.21
ENSG00000259961	1p36.21
ENSG00000215909	1p36.21
ENSG00000162493	1p36.21
ENSG00000222952	1p36.21
ENSG00000237445	1p36.21
ENSG00000253085	1p36.21
ENSG00000116731	1p36.21
ENSG00000189337	1p36.21
ENSG00000252151	1p36.21
ENSG00000231606	1p36.21
ENSG00000234593	1p36.21
ENSG00000235829	1p36.21
ENSG00000175147	1p36.21
ENSG00000171729	1p36.21
ENSG00000204464	1p36.21
ENSG00000215720	1p36.21
ENSG00000278480	1p36.21
ENSG00000142621	1p36.21
ENSG00000233485	1p36.21
ENSG00000236045	1p36.21
ENSG00000228140	1p36.21
ENSG00000142634	1p36.21
ENSG00000162438	1p36.21
ENSG00000142615	1p36.21
ENSG00000215704	1p36.21
ENSG00000132906	1p36.21
ENSG00000116138	1p36.21
ENSG00000251866	1p36.21
ENSG00000272510	1p36.21
ENSG00000116771	1p36.21
ENSG00000237301	1p36.21
ENSG00000235084	1p36.21
ENSG00000252417	1p36.21
ENSG00000236500	1p36.21
ENSG00000197312	1p36.21
ENSG00000215695	1p36.21
ENSG00000271742	1p36.21
ENSG00000116786	1p36.21
ENSG00000237938	1p36.21
ENSG00000162461	1p36.21
ENSG00000224459	1p36.21
ENSG00000162460	1p36.21
ENSG00000162458	1p36.21
ENSG00000224321	1p36.21
ENSG00000233954	1p36.21
ENSG00000178715	1p36.21
ENSG00000179743	1p36.21
ENSG00000065526	1p36.21,1p36.13
ENSG00000270620	1p36.13
ENSG00000116809	1p36.13
ENSG00000234607	1p36.13
ENSG00000231353	1p36.13
ENSG00000275503	1p36.13
ENSG00000224966	1p36.13
ENSG00000183888	1p36.13
ENSG00000233078	1p36.13
ENSG00000173641	1p36.13
ENSG00000186510	1p36.13
ENSG00000232456	1p36.13
ENSG00000184908	1p36.13
ENSG00000185519	1p36.13
ENSG00000142627	1p36.13
ENSG00000227959	1p36.13
ENSG00000224621	1p36.13
ENSG00000234166	1p36.13
ENSG00000142632	1p36.13
ENSG00000237276	1p36.13
ENSG00000132881	1p36.13
ENSG00000233929	1p36.13
ENSG00000037637	1p36.13
ENSG00000055070	1p36.13
ENSG00000226457	1p36.13
ENSG00000187144	1p36.13
ENSG00000157191	1p36.13
ENSG00000226029	1p36.13
ENSG00000080947	1p36.13
ENSG00000206652	1p36.13
ENSG00000261135	1p36.13
ENSG00000224174	1p36.13
ENSG00000233421	1p36.13
ENSG00000277344	1p36.13
ENSG00000268991	1p36.13
ENSG00000225710	1p36.13
ENSG00000219481	1p36.13
ENSG00000271732	1p36.13
ENSG00000215908	1p36.13
ENSG00000186301	1p36.13
ENSG00000282143	1p36.13
ENSG00000207513	1p36.13
ENSG00000237847	1p36.13
ENSG00000280114	1p36.13
ENSG00000236698	1p36.13
ENSG00000268869	1p36.13
ENSG00000279151	1p36.13
ENSG00000279132	1p36.13
ENSG00000282740	1p36.13
ENSG00000058453	1p36.13
ENSG00000227684	1p36.13
ENSG00000207389	1p36.13
ENSG00000186715	1p36.13
ENSG00000223643	1p36.13
ENSG00000230239	1p36.13
ENSG00000263811	1p36.13
ENSG00000228549	1p36.13
ENSG00000277234	1p36.13
ENSG00000238142	1p36.13
ENSG00000235241	1p36.13
ENSG00000207005	1p36.13
ENSG00000272426	1p36.13
ENSG00000117122	1p36.13
ENSG00000226526	1p36.13
ENSG00000159363	1p36.13
ENSG00000117118	1p36.13
ENSG00000117115	1p36.13
ENSG00000204362	1p36.13
ENSG00000282843	1p36.13
ENSG00000142623	1p36.13
ENSG00000142619	1p36.13
ENSG00000266634	1p36.13
ENSG00000159339	1p36.13
ENSG00000280226	1p36.13
ENSG00000276747	1p36.13
ENSG00000179051	1p36.13
ENSG00000227751	1p36.13
ENSG00000074964	1p36.13
ENSG00000236648	1p36.13
ENSG00000117148	1p36.13
ENSG00000261781	1p36.13
ENSG00000117154	1p36.13
ENSG00000280222	1p36.13
ENSG00000230035	1p36.13
ENSG00000225387	1p36.13
ENSG00000179023	1p36.13
ENSG00000235282	1p36.13
ENSG00000225478	1p36.13
ENSG00000009709	1p36.13
ENSG00000179002	1p36.13
ENSG00000255275	1p36.13
ENSG00000159423	1p36.13
ENSG00000265606	1p36.13
ENSG00000221662	1p36.13
ENSG00000169991	1p36.13
ENSG00000272084	1p36.13
ENSG00000127481	1p36.13
ENSG00000230424	1p36.13
ENSG00000127463	1p36.13
ENSG00000053372	1p36.13
ENSG00000211454	1p36.13
ENSG00000162482	1p36.13
ENSG00000270728	1p36.13
ENSG00000053371	1p36.13
ENSG00000200403	1p36.13
ENSG00000040487	1p36.13
ENSG00000077549	1p36.13
ENSG00000240490	1p36.13
ENSG00000201609	1p36.13
ENSG00000235185	1p36.13
ENSG00000173436	1p36.13
ENSG00000270136	1p36.13
ENSG00000226396	1p36.13
ENSG00000158747	1p36.13
ENSG00000158748	1p36.13
ENSG00000162542	1p36.13
ENSG00000178828	1p36.13
ENSG00000235434	1p36.13
ENSG00000169914	1p36.13
ENSG00000188784	1p36.13
ENSG00000242688	1p36.13
ENSG00000188257	1p36.13
ENSG00000127472	1p36.13
ENSG00000117215	1p36.12
ENSG00000158786	1p36.12
ENSG00000227066	1p36.12
ENSG00000187980	1p36.12
ENSG00000225986	1p36.12
ENSG00000162543	1p36.12
ENSG00000228105	1p36.12
ENSG00000158816	1p36.12
ENSG00000226664	1p36.12
ENSG00000236963	1p36.12
ENSG00000226487	1p36.12
ENSG00000162545	1p36.12
ENSG00000090432	1p36.12
ENSG00000215520	1p36.12
ENSG00000183114	1p36.12
ENSG00000158825	1p36.12
ENSG00000158828	1p36.12
ENSG00000117242	1p36.12
ENSG00000244038	1p36.12
ENSG00000117245	1p36.12
ENSG00000235432	1p36.12
ENSG00000189410	1p36.12
ENSG00000233069	1p36.12
ENSG00000127483	1p36.12
ENSG00000075151	1p36.12
ENSG00000251914	1p36.12
ENSG00000221808	1p36.12
ENSG00000233072	1p36.12
ENSG00000236073	1p36.12
ENSG00000235112	1p36.12
ENSG00000117298	1p36.12
ENSG00000236936	1p36.12
ENSG00000231105	1p36.12
ENSG00000236216	1p36.12
ENSG00000228823	1p36.12
ENSG00000236009	1p36.12
ENSG00000227001	1p36.12
ENSG00000187952	1p36.12
ENSG00000186543	1p36.12
ENSG00000142794	1p36.12
ENSG00000176378	1p36.12
ENSG00000162551	1p36.12
ENSG00000233431	1p36.12
ENSG00000076864	1p36.12
ENSG00000090686	1p36.12
ENSG00000231978	1p36.12
ENSG00000187942	1p36.12
ENSG00000142798	1p36.12
ENSG00000232037	1p36.12
ENSG00000283234	1p36.12
ENSG00000219073	1p36.12
ENSG00000273610	1p36.12
ENSG00000201919	1p36.12
ENSG00000142789	1p36.12
ENSG00000278124	1p36.12
ENSG00000201273	1p36.12
ENSG00000228397	1p36.12
ENSG00000218510	1p36.12
ENSG00000070831	1p36.12
ENSG00000230068	1p36.12
ENSG00000271428	1p36.12
ENSG00000271840	1p36.12
ENSG00000162552	1p36.12
ENSG00000266564	1p36.12
ENSG00000234397	1p36.12
ENSG00000279625	1p36.12
ENSG00000184677	1p36.12
ENSG00000237200	1p36.12
ENSG00000070886	1p36.12
ENSG00000276835	1p36.12
ENSG00000173372	1p36.12
ENSG00000159189	1p36.12
ENSG00000173369	1p36.12
ENSG00000133216	1p36.12
ENSG00000265422	1p36.12
ENSG00000225952	1p36.12
ENSG00000264014	1p36.12
ENSG00000215906	1p36.12
ENSG00000227868	1p36.12
ENSG00000004487	1p36.12
ENSG00000240553	1p36.12
ENSG00000263793	1p36.12
ENSG00000266802	1p36.12
ENSG00000169641	1p36.12
ENSG00000229010	1p36.12
ENSG00000206935	1p36.12
ENSG00000252578	1p36.12
ENSG00000179546	1p36.12
ENSG00000215381	1p36.12
ENSG00000261326	1p36.12
ENSG00000125944	1p36.12
ENSG00000125945	1p36.12
ENSG00000249087	1p36.12
ENSG00000201405	1p36.12
ENSG00000271420	1p36.12
ENSG00000204219	1p36.12
ENSG00000232482	1p36.12
ENSG00000088280	1p36.12
ENSG00000007968	1p36.12
ENSG00000235052	1p36.12
ENSG00000117318	1p36.12
ENSG00000197880	1p36.12,1p36.11
ENSG00000229239	1p36.11
ENSG00000142676	1p36.11
ENSG00000011007	1p36.11
ENSG00000236810	1p36.11
ENSG00000057757	1p36.11
ENSG00000011009	1p36.11
ENSG00000117308	1p36.11
ENSG00000117305	1p36.11
ENSG00000179163	1p36.11
ENSG00000188822	1p36.11
ENSG00000229106	1p36.11
ENSG00000232557	1p36.11
ENSG00000264926	1p36.11
ENSG00000230228	1p36.11
ENSG00000189266	1p36.11
ENSG00000188529	1p36.11
ENSG00000215905	1p36.11
ENSG00000225315	1p36.11
ENSG00000142661	1p36.11
ENSG00000230703	1p36.11
ENSG00000142677	1p36.11
ENSG00000185436	1p36.11
ENSG00000230023	1p36.11
ENSG00000232298	1p36.11
ENSG00000158055	1p36.11
ENSG00000001460	1p36.11
ENSG00000001461	1p36.11
ENSG00000117602	1p36.11
ENSG00000264443	1p36.11
ENSG00000184454	1p36.11
ENSG00000227312	1p36.11
ENSG00000239106	1p36.11
ENSG00000133226	1p36.11
ENSG00000169504	1p36.11
ENSG00000238482	1p36.11
ENSG00000020633	1p36.11
ENSG00000278034	1p36.11
ENSG00000229162	1p36.11
ENSG00000261025	1p36.11
ENSG00000264371	1p36.11
ENSG00000233755	1p36.11
ENSG00000233419	1p36.11
ENSG00000231953	1p36.11
ENSG00000117614	1p36.11
ENSG00000117616	1p36.11
ENSG00000272432	1p36.11
ENSG00000261349	1p36.11
ENSG00000187010	1p36.11
ENSG00000224183	1p36.11
ENSG00000259984	1p36.11
ENSG00000183726	1p36.11
ENSG00000188672	1p36.11
ENSG00000238084	1p36.11
ENSG00000204178	1p36.11
ENSG00000157978	1p36.11
ENSG00000225643	1p36.11
ENSG00000117643	1p36.11
ENSG00000233478	1p36.11
ENSG00000162430	1p36.11
ENSG00000255054	1p36.11
ENSG00000228172	1p36.11
ENSG00000117640	1p36.11
ENSG00000272478	1p36.11
ENSG00000127423	1p36.11
ENSG00000236528	1p36.11
ENSG00000182749	1p36.11
ENSG00000207302	1p36.11
ENSG00000117632	1p36.11
ENSG00000229786	1p36.11
ENSG00000223624	1p36.11
ENSG00000158006	1p36.11
ENSG00000207237	1p36.11
ENSG00000252190	1p36.11
ENSG00000252691	1p36.11
ENSG00000158008	1p36.11
ENSG00000158014	1p36.11
ENSG00000158022	1p36.11
ENSG00000175087	1p36.11
ENSG00000197245	1p36.11
ENSG00000282872	1p36.11
ENSG00000236782	1p36.11
ENSG00000142684	1p36.11
ENSG00000142675	1p36.11
ENSG00000188782	1p36.11
ENSG00000236155	1p36.11
ENSG00000278572	1p36.11
ENSG00000130695	1p36.11
ENSG00000270733	1p36.11
ENSG00000142669	1p36.11
ENSG00000158062	1p36.11
ENSG00000169442	1p36.11
ENSG00000176092	1p36.11
ENSG00000225854	1p36.11
ENSG00000176083	1p36.11
ENSG00000131914	1p36.11
ENSG00000117682	1p36.11
ENSG00000223583	1p36.11
ENSG00000225891	1p36.11
ENSG00000198830	1p36.11
ENSG00000224129	1p36.11
ENSG00000117676	1p36.11
ENSG00000238705	1p36.11
ENSG00000243905	1p36.11
ENSG00000252802	1p36.11
ENSG00000252429	1p36.11
ENSG00000229247	1p36.11
ENSG00000238316	1p36.11
ENSG00000235069	1p36.11
ENSG00000260063	1p36.11
ENSG00000117713	1p36.11
ENSG00000060642	1p36.11
ENSG00000241188	1p36.11
ENSG00000204160	1p36.11
ENSG00000175793	1p36.11
ENSG00000226698	1p36.11
ENSG00000142751	1p36.11
ENSG00000198746	1p36.11
ENSG00000090273	1p36.11
ENSG00000131910	1p36.11
ENSG00000175707	1p36.11
ENSG00000172746	1p36.11
ENSG00000224064	1p36.11
ENSG00000225294	1p36.11
ENSG00000253368	1p36.11
ENSG00000158246	1p36.11
ENSG00000280403	1p36.11
ENSG00000090020	1p36.11
ENSG00000229985	1p36.11
ENSG00000214973	1p36.11
ENSG00000225159	1p36.11
ENSG00000225990	1p36.11
ENSG00000224311	1p36.11
ENSG00000142784	1p36.11
ENSG00000252098	1p36.11
ENSG00000243659	1p36.11
ENSG00000186501	1p36.11
ENSG00000206888	1p36.11
ENSG00000241547	1p36.11
ENSG00000142765	1p36.11
ENSG00000142733	1p36.11
ENSG00000142748	1p36.11
ENSG00000174950	1p36.11
ENSG00000231207	1p36.11
ENSG00000181773	1p36.11
ENSG00000158195	1p36.11
ENSG00000241169	1p36.11
ENSG00000237429	1p36.11
ENSG00000126705	1p36.11,1p35.3
ENSG00000000938	1p35.3
ENSG00000235912	1p35.3
ENSG00000233975	1p35.3
ENSG00000126709	1p35.3
ENSG00000225886	1p35.3
ENSG00000206767	1p35.3
ENSG00000226662	1p35.3
ENSG00000207095	1p35.3
ENSG00000009780	1p35.3
ENSG00000231344	1p35.3
ENSG00000230833	1p35.3
ENSG00000117758	1p35.3
ENSG00000269971	1p35.3
ENSG00000270031	1p35.3
ENSG00000223062	1p35.3
ENSG00000117751	1p35.3
ENSG00000252947	1p35.3
ENSG00000278868	1p35.3
ENSG00000130775	1p35.3
ENSG00000117748	1p35.3
ENSG00000130768	1p35.3
ENSG00000227050	1p35.3
ENSG00000158156	1p35.3
ENSG00000158161	1p35.3
ENSG00000238231	1p35.3
ENSG00000240750	1p35.3
ENSG00000228589	1p35.3
ENSG00000228943	1p35.3
ENSG00000214812	1p35.3
ENSG00000253005	1p35.3
ENSG00000169403	1p35.3
ENSG00000126698	1p35.3
ENSG00000130770	1p35.3
ENSG00000270605	1p35.3
ENSG00000271398	1p35.3
ENSG00000130766	1p35.3
ENSG00000130772	1p35.3
ENSG00000204138	1p35.3
ENSG00000206779	1p35.3
ENSG00000229820	1p35.3
ENSG00000221216	1p35.3
ENSG00000180198	1p35.3
ENSG00000242125	1p35.3
ENSG00000274266	1p35.3
ENSG00000200087	1p35.3
ENSG00000231468	1p35.3
ENSG00000279443	1p35.3
ENSG00000180098	1p35.3
ENSG00000197989	1p35.3
ENSG00000221539	1p35.3
ENSG00000278274	1p35.3
ENSG00000273544	1p35.3
ENSG00000274582	1p35.3
ENSG00000280498	1p35.3
ENSG00000120656	1p35.3
ENSG00000188060	1p35.3
ENSG00000229388	1p35.3
ENSG00000270103	1p35.3
ENSG00000274978	1p35.3
ENSG00000162419	1p35.3
